label,polymer,best_pr,pixel_count,area_um2,area_mm2
102,silica (low confidence),0.049556253211824344,20.0,81920.0,0.08192
103,polysulfone (low confidence),0.03491743311553138,10.0,40960.0,0.04096
104,unresolved polyethylene (low confidence),0.23679154013117173,14.0,57344.0,0.057344
105,unresolved polyethylene (low confidence),0.10984822542103714,11.0,45056.0,0.045056
106,acrylic (low confidence),0.28837216557232537,100.0,409600.0,0.4096
107,unresolved polyethylene (low confidence),0.19707925654811936,6.0,24576.0,0.024576
108,small particle,0.0,2.0,8192.0,0.008192
109,acrylic (low confidence),0.16728635045015544,376.0,1540096.0,1.540096
110,small particle,0.0,1.0,4096.0,0.004096
111,small particle,0.0,1.0,4096.0,0.004096
112,unresolved polyethylene (low confidence),0.05435076375004983,8.0,32768.0,0.032768
113,unresolved polyethylene (low confidence),0.06409570636783309,14.0,57344.0,0.057344
114,polyester/alkyd (low confidence),0.0831038191477817,33.0,135168.0,0.135168
115,small particle,0.0,1.0,4096.0,0.004096
116,small particle,0.0,1.0,4096.0,0.004096
117,chitin (low confidence),0.07443006763658899,19.0,77824.0,0.077824
118,small particle,0.0,2.0,8192.0,0.008192
119,unresolved polyethylene (low confidence),0.13427750053816828,11.0,45056.0,0.045056
120,cellulose (low confidence),0.11070452474743515,29.0,118784.0,0.118784
121,acrylic (low confidence),0.22823030458744994,93.0,380928.0,0.380928
122,small particle,0.0,1.0,4096.0,0.004096
123,small particle,0.0,1.0,4096.0,0.004096
124,small particle,0.0,2.0,8192.0,0.008192
125,polylactic acid (low confidence),0.02860885205161728,7.0,28672.0,0.028672
126,phenoxy resin (low confidence),0.042587803615250684,5.0,20480.0,0.02048
127,small particle,0.0,4.0,16384.0,0.016384
128,small particle,0.0,1.0,4096.0,0.004096
129,polyacrylamide (low confidence),0.25871045087091327,8.0,32768.0,0.032768
130,aramid (low confidence),0.028709661739332298,5.0,20480.0,0.02048
131,small particle,0.0,1.0,4096.0,0.004096
132,small particle,0.0,1.0,4096.0,0.004096
133,small particle,0.0,1.0,4096.0,0.004096
134,small particle,0.0,2.0,8192.0,0.008192
135,small particle,0.0,1.0,4096.0,0.004096
136,small particle,0.0,4.0,16384.0,0.016384
137,unresolved polyethylene (low confidence),0.06439610899065597,11.0,45056.0,0.045056
138,cellulose,0.5244494076012092,165.0,675840.0,0.67584
139,silica (low confidence),0.051637811658292315,11.0,45056.0,0.045056
140,unresolved polyethylene (low confidence),0.1520084879975162,19.0,77824.0,0.077824
141,small particle,0.0,3.0,12288.0,0.012288
142,small particle,0.0,1.0,4096.0,0.004096
143,polyvinylidene fluoride (low confidence),0.12475077237321516,20.0,81920.0,0.08192
144,poly(phenylene sulfide) (low confidence),0.058979271141919705,6.0,24576.0,0.024576
145,aramid (low confidence),0.02295763034534585,8.0,32768.0,0.032768
146,small particle,0.0,1.0,4096.0,0.004096
147,PTFE (low confidence),0.1844543477855773,162.0,663552.0,0.663552
148,silica (low confidence),0.18446807719323818,25.0,102400.0,0.1024
149,polypropylene (low confidence),0.01985739197154918,5.0,20480.0,0.02048
150,polypropylene (low confidence),0.12784159952393348,18.0,73728.0,0.073728
151,polyamide (low confidence),0.20510879763455447,13.0,53248.0,0.053248
152,polycarbonate (low confidence),0.02823770016900953,23.0,94208.0,0.094208
153,unresolved polyethylene (low confidence),0.07389266463552377,11.0,45056.0,0.045056
154,small particle,0.0,1.0,4096.0,0.004096
155,unresolved polyethylene (low confidence),0.1401116494579622,5.0,20480.0,0.02048
156,small particle,0.0,2.0,8192.0,0.008192
157,small particle,0.0,3.0,12288.0,0.012288
158,poly(phenylene sulfide) (low confidence),0.03141030758370065,7.0,28672.0,0.028672
159,small particle,0.0,3.0,12288.0,0.012288
160,unresolved polyethylene (low confidence),0.10575990623018916,8.0,32768.0,0.032768
161,small particle,0.0,1.0,4096.0,0.004096
162,polyethylene (low confidence),0.060451913095136575,29.0,118784.0,0.118784
163,polyacrylamide (low confidence),0.035968048702216586,19.0,77824.0,0.077824
164,small particle,0.0,1.0,4096.0,0.004096
165,acrylic (low confidence),0.17655329803245748,86.0,352256.0,0.352256
166,polyamide (low confidence),0.10409387915353273,25.0,102400.0,0.1024
167,poly(vinyl alcohol) (low confidence),0.07714887173766329,26.0,106496.0,0.106496
168,small particle,0.0,1.0,4096.0,0.004096
169,unresolved polyethylene (low confidence),0.23522374464831836,36.0,147456.0,0.147456
170,small particle,0.0,2.0,8192.0,0.008192
171,coal (low confidence),0.10194065554447988,46.0,188416.0,0.188416
172,polyester/alkyd,0.41285179765951463,105.0,430080.0,0.43008
173,small particle,0.0,3.0,12288.0,0.012288
174,small particle,0.0,2.0,8192.0,0.008192
175,polystyrene,0.44791043624014937,107.0,438272.0,0.438272
176,unresolved polyethylene (low confidence),0.053257795876637676,5.0,20480.0,0.02048
177,polyamide (low confidence),0.2663130630413258,17.0,69632.0,0.069632
178,polyethylene (low confidence),0.052883656610274964,12.0,49152.0,0.049152
179,small particle,0.0,2.0,8192.0,0.008192
180,small particle,0.0,4.0,16384.0,0.016384
181,small particle,0.0,3.0,12288.0,0.012288
182,small particle,0.0,1.0,4096.0,0.004096
183,small particle,0.0,3.0,12288.0,0.012288
184,polypropylene (low confidence),0.10112709528633693,23.0,94208.0,0.094208
185,polyvinyl chloride,0.36663152548019057,162.0,663552.0,0.663552
186,polyethylene,0.3712144117741654,139.0,569344.0,0.569344
187,poly(2 6 dimethyl p phenylene oxide) (low confidence),0.059671239990121826,74.0,303104.0,0.303104
188,small particle,0.0,1.0,4096.0,0.004096
189,small particle,0.0,2.0,8192.0,0.008192
190,small particle,0.0,1.0,4096.0,0.004096
191,small particle,0.0,2.0,8192.0,0.008192
192,small particle,0.0,2.0,8192.0,0.008192
193,small particle,0.0,1.0,4096.0,0.004096
194,poly(ethylene glycol) (low confidence),0.01904586999675753,7.0,28672.0,0.028672
195,small particle,0.0,4.0,16384.0,0.016384
196,small particle,0.0,1.0,4096.0,0.004096
197,small particle,0.0,2.0,8192.0,0.008192
198,small particle,0.0,2.0,8192.0,0.008192
199,small particle,0.0,2.0,8192.0,0.008192
200,small particle,0.0,1.0,4096.0,0.004096
201,acrylonitrile butadiene (low confidence),0.035847132270347595,9.0,36864.0,0.036864
202,small particle,0.0,4.0,16384.0,0.016384
203,cellulose,0.33720087009147504,149.0,610304.0,0.610304
204,polystyrene (low confidence),0.05493512546782303,35.0,143360.0,0.14336
205,small particle,0.0,4.0,16384.0,0.016384
206,small particle,0.0,2.0,8192.0,0.008192
207,silica (low confidence),0.053774369933502195,8.0,32768.0,0.032768
208,polystyrene (low confidence),0.03936272443394294,5.0,20480.0,0.02048
209,small particle,0.0,2.0,8192.0,0.008192
210,small particle,0.0,2.0,8192.0,0.008192
211,small particle,0.0,1.0,4096.0,0.004096
212,small particle,0.0,1.0,4096.0,0.004096
213,polyamide (low confidence),0.22480881135977973,13.0,53248.0,0.053248
214,polyethylene (low confidence),0.1101065628577179,25.0,102400.0,0.1024
215,small particle,0.0,4.0,16384.0,0.016384
216,small particle,0.0,1.0,4096.0,0.004096
217,polyethylene (low confidence),0.16670984681278067,45.0,184320.0,0.18432
218,small particle,0.0,3.0,12288.0,0.012288
219,small particle,0.0,1.0,4096.0,0.004096
220,small particle,0.0,1.0,4096.0,0.004096
221,unresolved polyethylene (low confidence),0.04341200396386432,10.0,40960.0,0.04096
222,small particle,0.0,4.0,16384.0,0.016384
223,unresolved polyethylene (low confidence),0.04047104103545443,5.0,20480.0,0.02048
224,unresolved polyethylene (low confidence),0.047878891479178745,8.0,32768.0,0.032768
