label,area,solidity,appr_len,appr_wid,polymer,best_pr
12,112.0,0.4666666666666667,34.539832078341085,6.5,error,0.0
14,221.0,0.4702127659574468,55.94640292279746,11.5,error,0.0
67,313.0,0.40808344198174706,53.85164807134504,14.0,error,0.0
77,140.0,0.40229885057471265,31.827660925679098,11.0,error,0.0
92,213.0,0.38939670932358317,45.65084884205331,11.0,error,0.0
96,287.0,0.5,46.61544808322666,9.0,error,0.0
99,117.0,0.6724137931034483,26.570660511172846,4.5,error,0.0
103,257.0,0.41252006420545745,48.33218389437829,10.0,error,0.0
114,113.0,0.5594059405940595,25.942243542145693,6.0,error,0.0
16,700202.0,0.6707744539315682,1668.5229995418103,544.0,error,0.0
141,334.0,0.3422131147540984,58.52349955359813,16.0,error,0.0
149,240.0,0.46421663442940037,44.40720662234904,13.0,error,0.0
211,201.0,0.5461956521739131,42.04759208325728,9.0,error,0.0
243,128.0,0.6464646464646465,26.40075756488817,8.0,error,0.0
253,167.0,0.3306930693069307,42.44997055358225,14.5,error,0.0
262,224.0,0.5714285714285714,36.89173349139343,10.0,error,0.0
320,376.0,0.47,50.44799302251776,16.0,error,0.0
345,145.0,0.4948805460750853,31.89043743820395,10.5,error,0.0
367,227.0,0.4274952919020716,41.400483088968905,12.5,error,0.0
381,104.0,0.4622222222222222,34.785054261852174,5.5,error,0.0
387,216.0,0.41941747572815535,46.32493928760188,12.5,error,0.0
399,110.0,0.5851063829787234,28.42534080710379,9.0,error,0.0
432,143.0,0.5766129032258065,29.068883707497267,6.5,error,0.0
438,107.0,0.6815286624203821,23.600847442411894,7.0,error,0.0
471,104.0,0.5252525252525253,24.839484696748443,8.0,error,0.0
499,221.0,0.48253275109170307,34.713109915419565,11.5,error,0.0
517,170.0,0.5555555555555556,32.802438933713454,10.0,error,0.0
579,367.0,0.5198300283286119,50.24937810560445,13.0,error,0.0
591,105.0,0.5965909090909091,22.02271554554524,7.0,error,0.0
616,267.0,0.4405940594059406,51.03920062069938,14.5,error,0.0
643,1021.0,0.4556001784917448,83.54639429682169,28.0,error,0.0
683,343.0,0.4573333333333333,52.354560450833695,12.5,error,0.0
723,135.0,0.574468085106383,30.083217912982647,5.5,error,0.0
725,215.0,0.46637744034707157,38.41874542459709,12.0,error,0.0
824,1215.0,0.4923014586709887,81.05553651663777,25.5,error,0.0
838,101.0,0.5372340425531915,24.20743687382041,7.5,error,0.0
868,236.0,0.49372384937238495,43.829214001622255,10.0,error,0.0
872,254.0,0.3937984496124031,49.040799340956916,15.5,error,0.0
883,337.0,0.3946135831381733,50.99019513592785,17.0,error,0.0
909,336.0,0.5490196078431373,48.91829923454004,16.0,error,0.0
915,669.0,0.42857142857142855,70.7248188403477,19.5,error,0.0
937,115.0,0.6284153005464481,28.844410203711913,8.0,error,0.0
941,255.0,0.5069582504970179,51.92301994298868,7.0,error,0.0
958,169.0,0.7100840336134454,24.839484696748443,8.0,error,0.0
